fecha_hora,latitud,longitud,altitud_km,bstar_nasa
2026-03-13T05:47:27.975456,-51.324645279869316,77.439842710675,438.2735968465336,0.00015844
2026-03-13T05:46:27.975456,-51.710599830335816,71.53223436344265,438.0525322386245,0.00015844
2026-03-13T05:45:27.975456,-51.770236998787674,65.56340931401816,437.70633311294876,0.00015844
2026-03-13T05:44:27.975456,-51.50191931640959,59.62240596178719,437.2362926903113,0.00015844
2026-03-13T05:43:27.975456,-50.912363816829576,53.7954275881773,436.64562823750276,0.00015844
2026-03-13T05:42:27.975456,-50.01582809634652,48.157531695519815,435.93944957784566,0.00015844
2026-03-13T05:41:27.975456,-48.83250461750083,42.76684114820707,435.1246959274916,0.00015844
2026-03-13T05:40:27.975456,-47.38651675832214,37.66212516420958,434.21004183331803,0.00015844
2026-03-13T05:39:27.975456,-45.703925094548644,32.86347770871473,433.2057734567334,0.00015844
2026-03-13T05:38:27.975456,-43.811041235542966,28.375100573316665,432.12363691557266,0.00015844
2026-03-13T05:37:27.975456,-41.733189683755846,24.189036418755595,430.9766608593306,0.00015844
2026-03-13T05:36:27.975456,-39.49392498783326,20.288931688849374,429.7789559070811,0.00015844
2026-03-13T05:35:27.975456,-37.11463202878752,16.653283985130084,428.5454940147403,0.00015844
2026-03-13T05:34:27.975456,-34.61440844424276,13.257959704019479,427.29187125102476,0.00015844
2026-03-13T05:33:27.975456,-32.010132236253575,10.07798448505744,426.03405783890025,0.00015844
2026-03-13T05:32:27.975456,-29.31663673942012,7.088716452538357,424.7881396503984,0.00015844
2026-03-13T05:31:27.975456,-26.546937409107837,4.26654464101824,423.57005561473306,0.00015844
2026-03-13T05:30:27.975456,-23.712474372618082,1.5892468143299068,422.3953357004054,0.00015844
2026-03-13T05:29:27.975456,-20.823349449625024,-0.9638837478775886,421.2788442490637,0.00015844
2026-03-13T05:28:27.975456,-17.888546544138922,-3.4120604393652023,420.2345334614909,0.00015844
2026-03-13T05:27:27.975456,-14.916130871833964,-5.77311667766285,419.27521175577965,0.00015844
2026-03-13T05:26:27.975456,-11.913426450724954,-8.063671658612108,418.4123315276689,0.00015844
2026-03-13T05:25:27.975456,-8.887173524711843,-10.29932375155038,417.6558005418797,0.00015844
2026-03-13T05:24:27.975456,-5.843668755705666,-12.49485657940554,417.0138207723089,0.00015844
2026-03-13T05:23:27.975456,-2.7888915551045717,-14.664449460382098,416.4927579936914,0.00015844
2026-03-13T05:22:27.975456,0.27137988124496615,-16.821888222876435,416.0970448194545,0.00015844
2026-03-13T05:21:27.975456,3.331459238492016,-18.98077511553416,415.8291191936481,0.00015844
2026-03-13T05:20:27.975456,6.38564587550281,-21.154738085864174,415.6893995981869,0.00015844
2026-03-13T05:19:27.975456,9.4281181903544,-23.357640378243527,415.676297451028,0.00015844
2026-03-13T05:18:27.975456,12.45282299412174,-25.603791333682054,415.78626636976185,0.00015844
2026-03-13T05:17:27.975456,15.45335729264512,-27.90815844376538,416.01388718260074,0.00015844
2026-03-13T05:16:27.975456,18.422838844177,-30.28657895634677,416.35198680822515,0.00015844
2026-03-13T05:15:27.975456,21.35376190097661,-32.7559663262829,416.79178841957196,0.00015844
2026-03-13T05:14:27.975456,24.23783477447442,-35.33450203403085,417.3230896744204,0.00015844
2026-03-13T05:13:27.975456,27.06579648946519,-38.04179602843075,417.93446525262266,0.00015844
2026-03-13T05:12:27.975456,29.827211132084006,-40.8989883468108,418.61348949927407,0.00015844
2026-03-13T05:11:27.975456,32.51024104220045,-43.92874928096265,419.34697464141334,0.00015844
2026-03-13T05:10:27.975456,35.10140445941589,-47.15511495668129,420.1212198274523,0.00015844
2026-03-13T05:09:27.975456,37.58533054590923,-50.60306950211732,420.92226613154537,0.00015844
2026-03-13T05:08:27.975456,39.94453595765022,-54.29775664761555,421.7361526652074,0.00015844
2026-03-13T05:07:27.975456,42.1592632035069,-58.26318010399269,422.54916903802274,0.00015844
2026-03-13T05:06:27.975456,44.20744180394497,-62.52024922238715,423.3480995980266,0.00015844
2026-03-13T05:05:27.975456,46.06485614193611,-67.08407136353398,424.12045514832,0.00015844
2026-03-13T05:04:27.975456,47.705621695413036,-71.96052191116165,424.85468816820384,0.00015844
2026-03-13T05:03:27.975456,49.10307042133347,-77.1423695236215,425.54038795118436,0.00015844
2026-03-13T05:02:27.975456,50.23110734224385,-82.60559200601733,426.1684524978816,0.00015844
2026-03-13T05:01:27.975456,51.0660071136886,-88.30689224798328,426.7312344579767,0.00015844
2026-03-13T05:00:27.975456,51.58847376849826,-94.18360216104857,427.22265889281476,0.00015844
2026-03-13T04:59:27.975456,51.785628762203146,-100.15688264495844,427.6383111221362,0.00015844
2026-03-13T04:58:27.975456,51.65249962142915,-106.13827435890249,427.97549341745867,0.00015844
2026-03-13T04:57:27.975456,51.19263197538778,-112.03847809837872,428.23324980805893,0.00015844
2026-03-13T04:56:27.975456,50.417656867563245,-117.77633765794405,428.41235876772106,0.00015844
2026-03-13T04:55:27.975456,49.34593237705738,-123.285911622428,428.51529405141395,0.00015844
2026-03-13T04:54:27.975456,48.00061014165509,-128.5203090570641,428.5461544456973,0.00015844
2026-03-13T04:53:27.975456,46.407557797233125,-133.4521406724845,428.51056368547484,0.00015844
2026-03-13T04:52:27.975456,44.593496316224375,-138.07137985296959,428.41554226774616,0.00015844
2026-03-13T04:51:27.975456,42.5845582544579,-142.38181157915585,428.26935335769355,0.00015844
2026-03-13T04:50:27.975456,40.40532078965476,-146.39713333380405,428.0813254292408,0.00015844
2026-03-13T04:49:27.975456,38.0782637014639,-150.1374145829702,427.86165470390233,0.00015844
2026-03-13T04:48:27.975456,35.6235549053243,-153.626250285334,427.6211908423968,0.00015844
2026-03-13T04:47:27.975456,33.059059990385684,-156.88867474671252,427.3712096932924,0.00015844
2026-03-13T04:46:27.975456,30.400487903642624,-159.94975328613845,427.1231772025419,0.00015844
2026-03-13T04:45:27.975456,27.66160763382788,-162.8337118233852,426.8885088273892,0.00015844
2026-03-13T04:44:27.975456,24.854492222478335,-165.56346105011687,426.6783289662722,0.00015844
2026-03-13T04:43:27.975456,21.989763415898057,-168.16039307447133,426.50323500438554,0.00015844
2026-03-13T04:42:27.975456,19.076822343083656,-170.64435663310155,426.3730705728137,0.00015844
2026-03-13T04:41:27.975456,16.12405954578331,-173.03374342806006,426.2967125215718,0.00015844
2026-03-13T04:40:27.975456,13.13904258047461,-175.34563964133514,426.28187590862757,0.00015844
2026-03-13T04:39:27.975456,10.128682237445235,-177.5960127799933,426.33494100793746,0.00015844
